Master: localhost:29500  |  Nodes: 1  |  GPUs: 0,1 (2)  |  Rank: 0

*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
[model] 110.9M parameters
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
step=10 | loss=9.6870 | lr=6.00e-05 | tok/s=423915 | 155ms/step | elapsed 0.1m | time left 9.9m
step=20 | loss=9.2286 | lr=1.20e-04 | tok/s=436835 | 150ms/step | elapsed 0.2m | time left 9.8m
step=30 | loss=8.7732 | lr=1.80e-04 | tok/s=387864 | 169ms/step | elapsed 0.2m | time left 9.8m
step=40 | loss=8.4912 | lr=2.40e-04 | tok/s=455039 | 144ms/step | elapsed 0.2m | time left 9.8m
step=50 | loss=8.4778 | lr=3.00e-04 | tok/s=436603 | 150ms/step | elapsed 0.2m | time left 9.8m
step=60 | loss=8.4216 | lr=3.60e-04 | tok/s=475313 | 138ms/step | elapsed 0.3m | time left 9.7m
step=70 | loss=8.1923 | lr=4.20e-04 | tok/s=440761 | 149ms/step | elapsed 0.3m | time left 9.7m
step=80 | loss=8.0305 | lr=4.80e-04 | tok/s=425848 | 154ms/step | elapsed 0.3m | time left 9.7m
step=90 | loss=7.9406 | lr=5.40e-04 | tok/s=401844 | 163ms/step | elapsed 0.3m | time left 9.7m
step=100 | loss=7.9134 | lr=6.00e-04 | tok/s=461162 | 142ms/step | elapsed 0.4m | time left 9.6m
step=110 | loss=7.7402 | lr=6.00e-04 | tok/s=447752 | 146ms/step | elapsed 0.4m | time left 9.6m
step=120 | loss=7.6168 | lr=6.00e-04 | tok/s=430322 | 152ms/step | elapsed 0.4m | time left 9.6m
step=130 | loss=7.6229 | lr=6.00e-04 | tok/s=431792 | 152ms/step | elapsed 0.4m | time left 9.6m
step=140 | loss=7.5740 | lr=6.00e-04 | tok/s=429050 | 153ms/step | elapsed 0.5m | time left 9.5m
step=150 | loss=7.3696 | lr=6.00e-04 | tok/s=421922 | 155ms/step | elapsed 0.5m | time left 9.5m
step=160 | loss=7.4848 | lr=6.00e-04 | tok/s=410007 | 160ms/step | elapsed 0.5m | time left 9.5m
step=170 | loss=7.3184 | lr=6.00e-04 | tok/s=409395 | 160ms/step | elapsed 0.5m | time left 9.5m
step=180 | loss=7.2865 | lr=6.00e-04 | tok/s=467030 | 140ms/step | elapsed 0.6m | time left 9.4m
step=190 | loss=7.2186 | lr=6.00e-04 | tok/s=361289 | 181ms/step | elapsed 0.6m | time left 9.4m
