Master: localhost:29500  |  Nodes: 1  |  GPUs: 0,1 (2)  |  Rank: 0

*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
[model] 110.9M parameters
[optim] Muon: 72 params, AdamW: 52 params
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
step=10 | loss=10.1011 | lr(muon)=2.00e-03 lr(adam)=3.00e-05 | tok/s=350594 | 187ms/step | elapsed 0.1m | time left 9.9m
step=20 | loss=9.5197 | lr(muon)=4.00e-03 lr(adam)=6.00e-05 | tok/s=387123 | 169ms/step | elapsed 0.1m | time left 9.9m
step=30 | loss=9.1063 | lr(muon)=6.00e-03 lr(adam)=9.00e-05 | tok/s=384957 | 170ms/step | elapsed 0.2m | time left 9.8m
step=40 | loss=8.7234 | lr(muon)=8.00e-03 lr(adam)=1.20e-04 | tok/s=359522 | 182ms/step | elapsed 0.2m | time left 9.8m
step=50 | loss=8.3572 | lr(muon)=1.00e-02 lr(adam)=1.50e-04 | tok/s=385902 | 170ms/step | elapsed 0.2m | time left 9.8m
step=60 | loss=8.1426 | lr(muon)=1.20e-02 lr(adam)=1.80e-04 | tok/s=363374 | 180ms/step | elapsed 0.2m | time left 9.8m
step=70 | loss=8.0204 | lr(muon)=1.40e-02 lr(adam)=2.10e-04 | tok/s=362674 | 181ms/step | elapsed 0.3m | time left 9.7m
step=80 | loss=7.8703 | lr(muon)=1.60e-02 lr(adam)=2.40e-04 | tok/s=388479 | 169ms/step | elapsed 0.3m | time left 9.7m
step=90 | loss=7.7545 | lr(muon)=1.80e-02 lr(adam)=2.70e-04 | tok/s=425788 | 154ms/step | elapsed 0.3m | time left 9.7m
step=100 | loss=7.5083 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=381179 | 172ms/step | elapsed 0.4m | time left 9.6m
step=110 | loss=7.4481 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=380593 | 172ms/step | elapsed 0.4m | time left 9.6m
step=120 | loss=7.4278 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=394061 | 166ms/step | elapsed 0.4m | time left 9.6m
step=130 | loss=7.2167 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=399284 | 164ms/step | elapsed 0.4m | time left 9.6m
step=140 | loss=7.1861 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=377919 | 173ms/step | elapsed 0.5m | time left 9.5m
step=150 | loss=7.1244 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=349993 | 187ms/step | elapsed 0.5m | time left 9.5m
step=160 | loss=7.1725 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=356568 | 184ms/step | elapsed 0.5m | time left 9.5m
step=170 | loss=7.0647 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=344951 | 190ms/step | elapsed 0.6m | time left 9.4m
step=180 | loss=6.9712 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=358051 | 183ms/step | elapsed 0.6m | time left 9.4m
step=190 | loss=6.9153 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=400890 | 163ms/step | elapsed 0.6m | time left 9.4m
step=200 | loss=6.8450 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=343236 | 191ms/step | elapsed 0.7m | time left 9.3m
step=210 | loss=6.7660 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=395803 | 166ms/step | elapsed 0.7m | time left 9.3m
step=220 | loss=6.6682 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=379285 | 173ms/step | elapsed 0.7m | time left 9.3m
step=230 | loss=6.7136 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=408900 | 160ms/step | elapsed 0.7m | time left 9.3m
step=240 | loss=6.7224 | lr(muon)=2.00e-02 lr(adam)=2.99e-04 | tok/s=370838 | 177ms/step | elapsed 0.8m | time left 9.2m
step=250 | loss=6.4544 | lr(muon)=2.00e-02 lr(adam)=2.99e-04 | tok/s=375946 | 174ms/step | elapsed 0.8m | time left 9.2m
step=260 | loss=6.5853 | lr(muon)=2.00e-02 lr(adam)=2.99e-04 | tok/s=364633 | 180ms/step | elapsed 0.8m | time left 9.2m
