Master: localhost:29501  |  Nodes: 1  |  GPUs: 0,1 (2)  |  Rank: 0

*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
[model] 336.7M parameters
[optim] Muon: 144 params, AdamW: 100 params
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
step=10 | loss=9.8495 | lr(muon)=2.00e-03 lr(adam)=3.00e-05 | tok/s=282083 | 465ms/step | elapsed 0.1m | time left 9.9m
step=20 | loss=9.3142 | lr(muon)=4.00e-03 lr(adam)=6.00e-05 | tok/s=308305 | 425ms/step | elapsed 0.2m | time left 9.8m
step=30 | loss=8.9195 | lr(muon)=6.00e-03 lr(adam)=9.00e-05 | tok/s=291060 | 450ms/step | elapsed 0.3m | time left 9.7m
step=40 | loss=8.3646 | lr(muon)=8.00e-03 lr(adam)=1.20e-04 | tok/s=297212 | 441ms/step | elapsed 0.3m | time left 9.7m
step=50 | loss=8.1257 | lr(muon)=1.00e-02 lr(adam)=1.50e-04 | tok/s=280706 | 467ms/step | elapsed 0.4m | time left 9.6m
step=60 | loss=7.8463 | lr(muon)=1.20e-02 lr(adam)=1.80e-04 | tok/s=305967 | 428ms/step | elapsed 0.5m | time left 9.5m
step=70 | loss=7.6552 | lr(muon)=1.40e-02 lr(adam)=2.10e-04 | tok/s=307301 | 427ms/step | elapsed 0.6m | time left 9.4m
step=80 | loss=7.4979 | lr(muon)=1.60e-02 lr(adam)=2.40e-04 | tok/s=291732 | 449ms/step | elapsed 0.6m | time left 9.4m
step=90 | loss=7.2270 | lr(muon)=1.80e-02 lr(adam)=2.70e-04 | tok/s=284531 | 461ms/step | elapsed 0.7m | time left 9.3m
step=100 | loss=7.1493 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=312157 | 420ms/step | elapsed 0.8m | time left 9.2m
step=110 | loss=7.1216 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=291495 | 450ms/step | elapsed 0.9m | time left 9.1m
step=120 | loss=7.0022 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=274811 | 477ms/step | elapsed 0.9m | time left 9.1m
step=130 | loss=6.9286 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=295620 | 443ms/step | elapsed 1.0m | time left 9.0m
step=140 | loss=6.9502 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=299202 | 438ms/step | elapsed 1.1m | time left 8.9m
step=150 | loss=6.8119 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=298901 | 439ms/step | elapsed 1.2m | time left 8.8m
step=160 | loss=6.6905 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=295215 | 444ms/step | elapsed 1.2m | time left 8.8m
step=170 | loss=6.5236 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=261756 | 501ms/step | elapsed 1.3m | time left 8.7m
step=180 | loss=6.6199 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=275008 | 477ms/step | elapsed 1.4m | time left 8.6m
step=190 | loss=6.4894 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=290688 | 451ms/step | elapsed 1.5m | time left 8.5m
step=200 | loss=6.4450 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=302625 | 433ms/step | elapsed 1.5m | time left 8.5m
