Master: localhost:29501  |  Nodes: 1  |  GPUs: 0 (1)  |  Rank: 0
[model] 110.9M parameters
[optim] Muon: 72 params, AdamW: 52 params
[data] 50 shard(s), 5,000,000,000 tokens total
step=10 | loss=9.8749 | lr(muon)=2.00e-03 lr(adam)=3.00e-05 | tok/s=7397 | 8859ms/step | elapsed 1.6m | time left 198.4m
step=20 | loss=8.8379 | lr(muon)=4.00e-03 lr(adam)=6.00e-05 | tok/s=7199 | 9104ms/step | elapsed 3.3m | time left 196.7m
step=30 | loss=8.1697 | lr(muon)=6.00e-03 lr(adam)=9.00e-05 | tok/s=7039 | 9311ms/step | elapsed 5.0m | time left 195.0m
step=40 | loss=7.6468 | lr(muon)=8.00e-03 lr(adam)=1.20e-04 | tok/s=7741 | 8466ms/step | elapsed 6.6m | time left 193.4m
step=50 | loss=7.1019 | lr(muon)=1.00e-02 lr(adam)=1.50e-04 | tok/s=6571 | 9974ms/step | elapsed 8.1m | time left 191.9m
step=60 | loss=6.8097 | lr(muon)=1.20e-02 lr(adam)=1.80e-04 | tok/s=7693 | 8518ms/step | elapsed 9.6m | time left 190.4m
step=70 | loss=6.5221 | lr(muon)=1.40e-02 lr(adam)=2.10e-04 | tok/s=7934 | 8260ms/step | elapsed 11.1m | time left 188.9m
step=80 | loss=6.3866 | lr(muon)=1.60e-02 lr(adam)=2.40e-04 | tok/s=6542 | 10018ms/step | elapsed 12.6m | time left 187.4m
step=90 | loss=6.2079 | lr(muon)=1.80e-02 lr(adam)=2.70e-04 | tok/s=7326 | 8946ms/step | elapsed 14.1m | time left 185.9m
step=100 | loss=6.0580 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=7646 | 8572ms/step | elapsed 15.6m | time left 184.4m
step=110 | loss=6.0409 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=6478 | 10117ms/step | elapsed 17.1m | time left 182.9m
step=120 | loss=5.9562 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=6687 | 9801ms/step | elapsed 18.6m | time left 181.4m
step=130 | loss=5.9494 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=7550 | 8680ms/step | elapsed 20.2m | time left 179.8m
step=140 | loss=5.8038 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=7644 | 8573ms/step | elapsed 21.7m | time left 178.3m
step=150 | loss=5.6730 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=6712 | 9765ms/step | elapsed 23.2m | time left 176.8m
step=160 | loss=5.7289 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=8304 | 7892ms/step | elapsed 24.7m | time left 175.3m
step=170 | loss=5.5814 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=8800 | 7447ms/step | elapsed 26.1m | time left 173.9m
step=180 | loss=5.5214 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=8561 | 7655ms/step | elapsed 27.4m | time left 172.6m
step=190 | loss=5.5310 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=7898 | 8298ms/step | elapsed 28.9m | time left 171.1m
step=200 | loss=5.5116 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=7095 | 9236ms/step | elapsed 30.3m | time left 169.7m
step=210 | loss=5.4444 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=7731 | 8477ms/step | elapsed 31.9m | time left 168.1m
step=220 | loss=5.3671 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=7194 | 9109ms/step | elapsed 33.3m | time left 166.7m
step=230 | loss=5.3353 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=6652 | 9852ms/step | elapsed 34.7m | time left 165.3m
step=240 | loss=5.3007 | lr(muon)=2.00e-02 lr(adam)=2.99e-04 | tok/s=7858 | 8340ms/step | elapsed 36.2m | time left 163.8m
