Master: localhost:29501  |  Nodes: 1  |  GPUs: 0 (1)  |  Rank: 0
[model] 110.9M parameters
[optim] Muon: 72 params, AdamW: 52 params
[data] 50 shard(s), 5,000,000,000 tokens total
step=10 | loss=9.8772 | lr(muon)=2.00e-03 lr(adam)=3.00e-05 | tok/s=16207 | 4044ms/step | elapsed 0.7m | time left 599.3m
step=20 | loss=8.8537 | lr(muon)=4.00e-03 lr(adam)=6.00e-05 | tok/s=14155 | 4630ms/step | elapsed 1.5m | time left 598.5m
step=30 | loss=8.2196 | lr(muon)=6.00e-03 lr(adam)=9.00e-05 | tok/s=13793 | 4751ms/step | elapsed 2.3m | time left 597.7m
step=40 | loss=7.6958 | lr(muon)=8.00e-03 lr(adam)=1.20e-04 | tok/s=10410 | 6295ms/step | elapsed 3.1m | time left 596.9m
step=50 | loss=7.0753 | lr(muon)=1.00e-02 lr(adam)=1.50e-04 | tok/s=14247 | 4600ms/step | elapsed 4.0m | time left 596.0m
step=60 | loss=6.7931 | lr(muon)=1.20e-02 lr(adam)=1.80e-04 | tok/s=10770 | 6085ms/step | elapsed 4.8m | time left 595.2m
step=70 | loss=6.4602 | lr(muon)=1.40e-02 lr(adam)=2.10e-04 | tok/s=12752 | 5139ms/step | elapsed 5.7m | time left 594.3m
step=80 | loss=6.3704 | lr(muon)=1.60e-02 lr(adam)=2.40e-04 | tok/s=13621 | 4811ms/step | elapsed 6.6m | time left 593.4m
step=90 | loss=6.2058 | lr(muon)=1.80e-02 lr(adam)=2.70e-04 | tok/s=12832 | 5107ms/step | elapsed 7.4m | time left 592.6m
step=100 | loss=6.1322 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=12974 | 5051ms/step | elapsed 8.3m | time left 591.7m
step=110 | loss=6.0174 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=12746 | 5142ms/step | elapsed 9.2m | time left 590.8m
step=120 | loss=5.9340 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=13078 | 5011ms/step | elapsed 10.1m | time left 589.9m
step=130 | loss=5.8783 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=10327 | 6346ms/step | elapsed 10.9m | time left 589.1m
step=140 | loss=5.9012 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=12576 | 5211ms/step | elapsed 11.8m | time left 588.2m
step=150 | loss=5.7725 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=9867 | 6642ms/step | elapsed 12.7m | time left 587.3m
step=160 | loss=5.7012 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=13624 | 4810ms/step | elapsed 13.5m | time left 586.5m
step=170 | loss=5.6644 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=12863 | 5095ms/step | elapsed 14.4m | time left 585.6m
