Master: localhost:29501  |  Nodes: 1  |  GPUs: 0 (1)  |  Rank: 0
[model] 110.9M parameters
[optim] Muon: 72 params, AdamW: 52 params
[data] 50 shard(s), 5,000,000,000 tokens total
step=10 | loss=9.8758 | lr(muon)=2.00e-03 lr(adam)=3.00e-05 | tok/s=13992 | 4684ms/step | elapsed 0.8m | time left 199.2m
step=20 | loss=8.8367 | lr(muon)=4.00e-03 lr(adam)=6.00e-05 | tok/s=11972 | 5474ms/step | elapsed 1.6m | time left 198.4m
step=30 | loss=8.2062 | lr(muon)=6.00e-03 lr(adam)=9.00e-05 | tok/s=13180 | 4972ms/step | elapsed 2.4m | time left 197.6m
step=40 | loss=7.5956 | lr(muon)=8.00e-03 lr(adam)=1.20e-04 | tok/s=13961 | 4694ms/step | elapsed 3.2m | time left 196.8m
step=50 | loss=7.1342 | lr(muon)=1.00e-02 lr(adam)=1.50e-04 | tok/s=13254 | 4944ms/step | elapsed 4.1m | time left 195.9m
step=60 | loss=6.6736 | lr(muon)=1.20e-02 lr(adam)=1.80e-04 | tok/s=13365 | 4903ms/step | elapsed 4.9m | time left 195.1m
step=70 | loss=6.5280 | lr(muon)=1.40e-02 lr(adam)=2.10e-04 | tok/s=13819 | 4742ms/step | elapsed 5.7m | time left 194.3m
step=80 | loss=6.3334 | lr(muon)=1.60e-02 lr(adam)=2.40e-04 | tok/s=13286 | 4933ms/step | elapsed 6.6m | time left 193.4m
step=90 | loss=6.1449 | lr(muon)=1.80e-02 lr(adam)=2.70e-04 | tok/s=13797 | 4750ms/step | elapsed 7.4m | time left 192.6m
step=100 | loss=6.0356 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=12870 | 5092ms/step | elapsed 8.3m | time left 191.7m
step=110 | loss=5.9920 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=13249 | 4947ms/step | elapsed 9.1m | time left 190.9m
step=120 | loss=6.0429 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=13093 | 5006ms/step | elapsed 10.0m | time left 190.0m
step=130 | loss=5.8990 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=12589 | 5206ms/step | elapsed 10.8m | time left 189.2m
step=140 | loss=5.7897 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=14064 | 4660ms/step | elapsed 11.6m | time left 188.4m
step=150 | loss=5.6690 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=11647 | 5627ms/step | elapsed 12.5m | time left 187.5m
step=160 | loss=5.7430 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=13207 | 4962ms/step | elapsed 13.3m | time left 186.7m
step=170 | loss=5.5926 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=13467 | 4867ms/step | elapsed 14.1m | time left 185.9m
step=180 | loss=5.6098 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=12934 | 5067ms/step | elapsed 15.0m | time left 185.0m
step=190 | loss=5.5658 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=13383 | 4897ms/step | elapsed 15.8m | time left 184.2m
step=200 | loss=5.5129 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=13008 | 5038ms/step | elapsed 16.7m | time left 183.3m
step=210 | loss=5.4434 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=13338 | 4913ms/step | elapsed 17.5m | time left 182.5m
step=220 | loss=5.3233 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=13633 | 4807ms/step | elapsed 18.3m | time left 181.7m
step=230 | loss=5.2975 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=13841 | 4735ms/step | elapsed 19.2m | time left 180.8m
step=240 | loss=5.2748 | lr(muon)=2.00e-02 lr(adam)=2.99e-04 | tok/s=13749 | 4767ms/step | elapsed 20.0m | time left 180.0m
step=250 | loss=5.2182 | lr(muon)=2.00e-02 lr(adam)=2.99e-04 | tok/s=13117 | 4996ms/step | elapsed 20.8m | time left 179.2m
step=260 | loss=5.1663 | lr(muon)=2.00e-02 lr(adam)=2.99e-04 | tok/s=13028 | 5030ms/step | elapsed 21.7m | time left 178.3m
step=270 | loss=5.0439 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=14178 | 4622ms/step | elapsed 22.5m | time left 177.5m
step=280 | loss=5.1396 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=14011 | 4677ms/step | elapsed 23.3m | time left 176.7m
step=290 | loss=5.0730 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=12546 | 5224ms/step | elapsed 24.2m | time left 175.8m
step=300 | loss=5.0128 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=11796 | 5556ms/step | elapsed 25.0m | time left 175.0m
step=310 | loss=4.9505 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=12952 | 5060ms/step | elapsed 25.8m | time left 174.2m
step=320 | loss=4.9679 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=13058 | 5019ms/step | elapsed 26.7m | time left 173.3m
step=330 | loss=4.8046 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=13421 | 4883ms/step | elapsed 27.5m | time left 172.5m
step=340 | loss=4.8041 | lr(muon)=1.99e-02 lr(adam)=2.98e-04 | tok/s=13506 | 4852ms/step | elapsed 28.3m | time left 171.7m
step=350 | loss=4.8045 | lr(muon)=1.99e-02 lr(adam)=2.98e-04 | tok/s=12789 | 5124ms/step | elapsed 29.2m | time left 170.8m
step=360 | loss=4.7386 | lr(muon)=1.99e-02 lr(adam)=2.98e-04 | tok/s=13389 | 4895ms/step | elapsed 30.0m | time left 170.0m
step=370 | loss=4.7030 | lr(muon)=1.99e-02 lr(adam)=2.98e-04 | tok/s=13116 | 4997ms/step | elapsed 30.8m | time left 169.2m
step=380 | loss=4.6818 | lr(muon)=1.99e-02 lr(adam)=2.98e-04 | tok/s=13287 | 4932ms/step | elapsed 31.7m | time left 168.3m
step=390 | loss=4.6724 | lr(muon)=1.98e-02 lr(adam)=2.98e-04 | tok/s=13776 | 4757ms/step | elapsed 32.5m | time left 167.5m
step=400 | loss=4.6300 | lr(muon)=1.98e-02 lr(adam)=2.98e-04 | tok/s=13727 | 4774ms/step | elapsed 33.3m | time left 166.7m
