Master: localhost:29501  |  Nodes: 1  |  GPUs: 0 (1)  |  Rank: 0
[model] 110.9M parameters
[data] 50 shard(s), 5,000,000,000 tokens total
step=10 | loss=9.2268 | lr=6.00e-05 | tok/s=11682 | 5610ms/step | elapsed 1.0m | time left 199.0m
step=20 | loss=8.5326 | lr=1.20e-04 | tok/s=11286 | 5807ms/step | elapsed 2.0m | time left 198.0m
step=30 | loss=7.6543 | lr=1.80e-04 | tok/s=10817 | 6058ms/step | elapsed 3.0m | time left 197.0m
step=40 | loss=7.1381 | lr=2.40e-04 | tok/s=10654 | 6151ms/step | elapsed 4.1m | time left 195.9m
step=50 | loss=6.9995 | lr=3.00e-04 | tok/s=10676 | 6139ms/step | elapsed 5.2m | time left 194.8m
step=60 | loss=6.7423 | lr=3.60e-04 | tok/s=8875 | 7385ms/step | elapsed 6.2m | time left 193.8m
step=70 | loss=6.5775 | lr=4.20e-04 | tok/s=9125 | 7182ms/step | elapsed 7.3m | time left 192.7m
step=80 | loss=6.3926 | lr=4.80e-04 | tok/s=9093 | 7208ms/step | elapsed 8.4m | time left 191.6m
step=90 | loss=6.3425 | lr=5.40e-04 | tok/s=10705 | 6122ms/step | elapsed 9.4m | time left 190.6m
step=100 | loss=6.2588 | lr=6.00e-04 | tok/s=10711 | 6119ms/step | elapsed 10.5m | time left 189.5m
step=110 | loss=6.1524 | lr=6.00e-04 | tok/s=10841 | 6045ms/step | elapsed 11.6m | time left 188.4m
step=120 | loss=6.1082 | lr=6.00e-04 | tok/s=10506 | 6238ms/step | elapsed 12.6m | time left 187.4m
step=130 | loss=6.1050 | lr=6.00e-04 | tok/s=10820 | 6057ms/step | elapsed 13.7m | time left 186.3m
step=140 | loss=5.9372 | lr=6.00e-04 | tok/s=11152 | 5876ms/step | elapsed 14.8m | time left 185.2m
step=150 | loss=5.9831 | lr=6.00e-04 | tok/s=11243 | 5829ms/step | elapsed 15.8m | time left 184.2m
step=160 | loss=5.9747 | lr=6.00e-04 | tok/s=10837 | 6047ms/step | elapsed 16.9m | time left 183.1m
step=170 | loss=5.8788 | lr=6.00e-04 | tok/s=10403 | 6300ms/step | elapsed 18.0m | time left 182.0m
step=180 | loss=5.8617 | lr=6.00e-04 | tok/s=8469 | 7738ms/step | elapsed 19.0m | time left 181.0m
