Master: localhost:29501  |  Nodes: 1  |  GPUs: 0 (1)  |  Rank: 0
[model] 110.9M parameters
[optim] Muon: 72 params, AdamW: 52 params
[data] 50 shard(s), 5,000,000,000 tokens total
[rank0]:W0424 02:38:41.304000 2165 site-packages/torch/_inductor/utils.py:1731] [0/0] Not enough SMs to use max_autotune_gemm mode
step=10 | loss=9.8789 | lr(muon)=2.00e-03 lr(adam)=3.00e-05 | tok/s=30137 | 2175ms/step | elapsed 0.6m | time left 199.4m
step=20 | loss=8.8669 | lr(muon)=4.00e-03 lr(adam)=6.00e-05 | tok/s=12207 | 5369ms/step | elapsed 1.1m | time left 198.9m
step=30 | loss=8.2323 | lr(muon)=6.00e-03 lr(adam)=9.00e-05 | tok/s=24546 | 2670ms/step | elapsed 1.5m | time left 198.5m
step=40 | loss=7.6259 | lr(muon)=8.00e-03 lr(adam)=1.20e-04 | tok/s=22930 | 2858ms/step | elapsed 2.0m | time left 198.0m
step=50 | loss=7.0408 | lr(muon)=1.00e-02 lr(adam)=1.50e-04 | tok/s=21953 | 2985ms/step | elapsed 2.6m | time left 197.4m
step=60 | loss=6.7085 | lr(muon)=1.20e-02 lr(adam)=1.80e-04 | tok/s=22340 | 2934ms/step | elapsed 3.1m | time left 196.9m
step=70 | loss=6.5000 | lr(muon)=1.40e-02 lr(adam)=2.10e-04 | tok/s=21747 | 3014ms/step | elapsed 3.7m | time left 196.3m
step=80 | loss=6.2969 | lr(muon)=1.60e-02 lr(adam)=2.40e-04 | tok/s=21682 | 3023ms/step | elapsed 4.2m | time left 195.8m
step=90 | loss=6.2563 | lr(muon)=1.80e-02 lr(adam)=2.70e-04 | tok/s=21396 | 3063ms/step | elapsed 4.8m | time left 195.2m
step=100 | loss=6.1281 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=21670 | 3024ms/step | elapsed 5.4m | time left 194.6m
step=110 | loss=6.0425 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=20996 | 3121ms/step | elapsed 5.9m | time left 194.1m
step=120 | loss=5.9723 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=21378 | 3066ms/step | elapsed 6.5m | time left 193.5m
step=130 | loss=5.9004 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=20984 | 3123ms/step | elapsed 7.1m | time left 192.9m
step=140 | loss=5.7928 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=21062 | 3112ms/step | elapsed 7.7m | time left 192.3m
step=150 | loss=5.7464 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=20720 | 3163ms/step | elapsed 8.3m | time left 191.7m
step=160 | loss=5.7321 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=21217 | 3089ms/step | elapsed 8.9m | time left 191.1m
step=170 | loss=5.6658 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=21211 | 3090ms/step | elapsed 9.5m | time left 190.5m
step=180 | loss=5.5223 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=20894 | 3137ms/step | elapsed 10.1m | time left 189.9m
step=190 | loss=5.6152 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=19963 | 3283ms/step | elapsed 10.6m | time left 189.4m
step=200 | loss=5.5478 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=20904 | 3135ms/step | elapsed 11.2m | time left 188.8m
step=210 | loss=5.4494 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=20948 | 3128ms/step | elapsed 11.8m | time left 188.2m
step=220 | loss=5.3833 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=20995 | 3122ms/step | elapsed 12.4m | time left 187.6m
step=230 | loss=5.2969 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=20909 | 3134ms/step | elapsed 13.0m | time left 187.0m
step=240 | loss=5.2288 | lr(muon)=2.00e-02 lr(adam)=2.99e-04 | tok/s=20818 | 3148ms/step | elapsed 13.6m | time left 186.4m
step=250 | loss=5.1651 | lr(muon)=2.00e-02 lr(adam)=2.99e-04 | tok/s=20846 | 3144ms/step | elapsed 14.1m | time left 185.9m
step=260 | loss=5.0952 | lr(muon)=2.00e-02 lr(adam)=2.99e-04 | tok/s=20893 | 3137ms/step | elapsed 14.7m | time left 185.3m
step=270 | loss=5.0819 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=20911 | 3134ms/step | elapsed 15.3m | time left 184.7m
step=280 | loss=5.1476 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=20498 | 3197ms/step | elapsed 15.9m | time left 184.1m
step=290 | loss=4.9932 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=20455 | 3204ms/step | elapsed 16.5m | time left 183.5m
step=300 | loss=5.0155 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=21153 | 3098ms/step | elapsed 17.1m | time left 182.9m
step=310 | loss=4.9770 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=20182 | 3247ms/step | elapsed 17.6m | time left 182.4m
step=320 | loss=4.9379 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=21142 | 3100ms/step | elapsed 18.2m | time left 181.8m
step=330 | loss=4.8221 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=20847 | 3144ms/step | elapsed 18.8m | time left 181.2m
step=340 | loss=4.8226 | lr(muon)=1.99e-02 lr(adam)=2.98e-04 | tok/s=20950 | 3128ms/step | elapsed 19.4m | time left 180.6m
