Master: localhost:29501  |  Nodes: 1  |  GPUs: 0 (1)  |  Rank: 0
[model] 110.9M parameters
[optim] Muon: 72 params, AdamW: 52 params
[data] 50 shard(s), 5,000,000,000 tokens total
step=10 | loss=9.8876 | lr(muon)=2.00e-03 lr(adam)=3.00e-05 | tok/s=28095 | 2333ms/step | elapsed 0.4m | time left 199.6m
step=20 | loss=8.8137 | lr(muon)=4.00e-03 lr(adam)=6.00e-05 | tok/s=24289 | 2698ms/step | elapsed 0.9m | time left 199.1m
step=30 | loss=8.2471 | lr(muon)=6.00e-03 lr(adam)=9.00e-05 | tok/s=21902 | 2992ms/step | elapsed 1.4m | time left 198.6m
step=40 | loss=7.5923 | lr(muon)=8.00e-03 lr(adam)=1.20e-04 | tok/s=20484 | 3199ms/step | elapsed 1.9m | time left 198.1m
step=50 | loss=7.0462 | lr(muon)=1.00e-02 lr(adam)=1.50e-04 | tok/s=19849 | 3302ms/step | elapsed 2.4m | time left 197.6m
step=60 | loss=6.7445 | lr(muon)=1.20e-02 lr(adam)=1.80e-04 | tok/s=19097 | 3432ms/step | elapsed 3.0m | time left 197.0m
step=70 | loss=6.5049 | lr(muon)=1.40e-02 lr(adam)=2.10e-04 | tok/s=19074 | 3436ms/step | elapsed 3.6m | time left 196.4m
step=80 | loss=6.3823 | lr(muon)=1.60e-02 lr(adam)=2.40e-04 | tok/s=19353 | 3386ms/step | elapsed 4.1m | time left 195.9m
step=90 | loss=6.2384 | lr(muon)=1.80e-02 lr(adam)=2.70e-04 | tok/s=18930 | 3462ms/step | elapsed 4.7m | time left 195.3m
step=100 | loss=6.1214 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=18918 | 3464ms/step | elapsed 5.3m | time left 194.7m
step=110 | loss=6.0120 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=18821 | 3482ms/step | elapsed 5.9m | time left 194.1m
step=120 | loss=5.9629 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=18364 | 3569ms/step | elapsed 6.5m | time left 193.5m
step=130 | loss=5.8994 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=18300 | 3581ms/step | elapsed 7.1m | time left 192.9m
step=140 | loss=5.8887 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=18321 | 3577ms/step | elapsed 7.7m | time left 192.3m
step=150 | loss=5.7397 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=17988 | 3643ms/step | elapsed 8.3m | time left 191.7m
step=160 | loss=5.7643 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=18024 | 3636ms/step | elapsed 9.0m | time left 191.0m
step=170 | loss=5.7014 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=18034 | 3634ms/step | elapsed 9.6m | time left 190.4m
step=180 | loss=5.5695 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=18049 | 3631ms/step | elapsed 10.2m | time left 189.8m
step=190 | loss=5.5511 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=18420 | 3558ms/step | elapsed 10.8m | time left 189.2m
step=200 | loss=5.5124 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=18136 | 3614ms/step | elapsed 11.4m | time left 188.6m
step=210 | loss=5.4329 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=18179 | 3605ms/step | elapsed 12.0m | time left 188.0m
step=220 | loss=5.3834 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=18162 | 3608ms/step | elapsed 12.6m | time left 187.4m
step=230 | loss=5.2661 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=18197 | 3601ms/step | elapsed 13.3m | time left 186.7m
step=240 | loss=5.2428 | lr(muon)=2.00e-02 lr(adam)=2.99e-04 | tok/s=18186 | 3604ms/step | elapsed 13.9m | time left 186.1m
step=250 | loss=5.2431 | lr(muon)=2.00e-02 lr(adam)=2.99e-04 | tok/s=18183 | 3604ms/step | elapsed 14.5m | time left 185.5m
step=260 | loss=5.2275 | lr(muon)=2.00e-02 lr(adam)=2.99e-04 | tok/s=18655 | 3513ms/step | elapsed 15.1m | time left 184.9m
step=270 | loss=5.0399 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=18863 | 3474ms/step | elapsed 15.7m | time left 184.3m
step=280 | loss=5.0608 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=18884 | 3470ms/step | elapsed 16.3m | time left 183.7m
step=290 | loss=5.0018 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=18938 | 3461ms/step | elapsed 16.9m | time left 183.1m
step=300 | loss=5.0394 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=18960 | 3457ms/step | elapsed 17.4m | time left 182.6m
step=310 | loss=4.9301 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=19337 | 3389ms/step | elapsed 18.0m | time left 182.0m
step=320 | loss=4.8723 | lr(muon)=1.99e-02 lr(adam)=2.99e-04 | tok/s=19355 | 3386ms/step | elapsed 18.6m | time left 181.4m
