Master: localhost:29501  |  Nodes: 1  |  GPUs: 0 (1)  |  Rank: 0
/home/rawline/forge-pretrain/train.py:162: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler() if "cuda" in device else None
[mem] rank=0 after model load: 444 MB  (≈ M_params)
[model] 110.9M parameters
[optim] Muon: 72 params, AdamW: 52 params
[data] 50 shard(s), 5,000,000,000 tokens total
[rank0]:W0428 22:08:29.664000 24912 site-packages/torch/_inductor/utils.py:1731] [0/0] Not enough SMs to use max_autotune_gemm mode
step=10 | loss=9.8727 | lr(muon)=2.00e-03 lr(adam)=3.00e-05 | tok/s=27227 (rank tok/s=27227) | 2407ms/step [fwd=42 bwd=101 opt=101 ms] | elapsed 0.5m | time left 199.5m
[mem] rank=0 after fwd: peak=4413 live=3826 MB  activations≈3382 MB
[mem] rank=0 after bwd: peak=4413 live=2187 MB  gradients≈1744 MB
[mem] rank=0 after opt.step: peak=2291 live=1725 MB  opt_state≈1281 MB  reserved≈4771 MB (≈nvidia-smi)
step=20 | loss=8.8290 | lr(muon)=4.00e-03 lr(adam)=6.00e-05 | tok/s=25143 (rank tok/s=25143) | 2606ms/step [fwd=45 bwd=109 opt=108 ms] | elapsed 1.0m | time left 199.0m
step=30 | loss=8.2393 | lr(muon)=6.00e-03 lr(adam)=9.00e-05 | tok/s=23402 (rank tok/s=23402) | 2800ms/step [fwd=47 bwd=114 opt=113 ms] | elapsed 1.4m | time left 198.6m
step=40 | loss=7.6106 | lr(muon)=8.00e-03 lr(adam)=1.20e-04 | tok/s=22068 (rank tok/s=22068) | 2970ms/step [fwd=52 bwd=125 opt=123 ms] | elapsed 1.9m | time left 198.1m
step=50 | loss=7.0723 | lr(muon)=1.00e-02 lr(adam)=1.50e-04 | tok/s=21012 (rank tok/s=21012) | 3119ms/step [fwd=54 bwd=131 opt=128 ms] | elapsed 2.4m | time left 197.6m
step=60 | loss=6.7424 | lr(muon)=1.20e-02 lr(adam)=1.80e-04 | tok/s=20416 (rank tok/s=20416) | 3210ms/step [fwd=56 bwd=134 opt=131 ms] | elapsed 2.9m | time left 197.1m
step=70 | loss=6.5178 | lr(muon)=1.40e-02 lr(adam)=2.10e-04 | tok/s=19910 (rank tok/s=19910) | 3292ms/step [fwd=58 bwd=138 opt=135 ms] | elapsed 3.5m | time left 196.5m
step=80 | loss=6.3470 | lr(muon)=1.60e-02 lr(adam)=2.40e-04 | tok/s=19596 (rank tok/s=19596) | 3344ms/step [fwd=59 bwd=141 opt=137 ms] | elapsed 4.1m | time left 195.9m
step=90 | loss=6.1425 | lr(muon)=1.80e-02 lr(adam)=2.70e-04 | tok/s=19227 (rank tok/s=19227) | 3409ms/step [fwd=60 bwd=143 opt=140 ms] | elapsed 4.6m | time left 195.4m
