Master: verda-hackathon-1:29500  |  Nodes: 4  |  GPUs/node: 8
[model] 110.9M parameters
[optim] Muon: 72 params, AdamW: 52 params
[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total

[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total

[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total

[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total

[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total



[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total

[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total

[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total


[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
step=10 | loss=10.0771 | lr(muon)=2.00e-03 lr(adam)=3.00e-05 | tok/s=4210660 | 249ms/step | elapsed 0.1m | time left 9.9m
step=20 | loss=9.4582 | lr(muon)=4.00e-03 lr(adam)=6.00e-05 | tok/s=4457410 | 235ms/step | elapsed 0.1m | time left 9.9m
step=30 | loss=9.0637 | lr(muon)=6.00e-03 lr(adam)=9.00e-05 | tok/s=4814316 | 218ms/step | elapsed 0.2m | time left 9.8m
step=40 | loss=8.4885 | lr(muon)=8.00e-03 lr(adam)=1.20e-04 | tok/s=4870726 | 215ms/step | elapsed 0.2m | time left 9.8m
step=50 | loss=8.2381 | lr(muon)=1.00e-02 lr(adam)=1.50e-04 | tok/s=5399695 | 194ms/step | elapsed 0.2m | time left 9.8m
step=60 | loss=7.7709 | lr(muon)=1.20e-02 lr(adam)=1.80e-04 | tok/s=5204875 | 201ms/step | elapsed 0.3m | time left 9.7m
step=70 | loss=7.6080 | lr(muon)=1.40e-02 lr(adam)=2.10e-04 | tok/s=5428018 | 193ms/step | elapsed 0.3m | time left 9.7m
step=80 | loss=7.3081 | lr(muon)=1.60e-02 lr(adam)=2.40e-04 | tok/s=5049741 | 208ms/step | elapsed 0.4m | time left 9.6m
step=90 | loss=7.0664 | lr(muon)=1.80e-02 lr(adam)=2.70e-04 | tok/s=2782403 | 377ms/step | elapsed 0.4m | time left 9.6m
step=100 | loss=6.8362 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=2972989 | 353ms/step | elapsed 0.4m | time left 9.6m
step=110 | loss=6.7632 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=5504625 | 190ms/step | elapsed 0.5m | time left 9.5m
step=120 | loss=6.6878 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=5370053 | 195ms/step | elapsed 0.5m | time left 9.5m
step=130 | loss=6.5143 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=5259047 | 199ms/step | elapsed 0.5m | time left 9.5m
step=140 | loss=6.4729 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=5246788 | 200ms/step | elapsed 0.6m | time left 9.4m
step=150 | loss=6.3531 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=5546380 | 189ms/step | elapsed 0.6m | time left 9.4m
step=160 | loss=6.3170 | lr(muon)=2.00e-02 lr(adam)=3.00e-04 | tok/s=5458062 | 192ms/step | elapsed 0.6m | time left 9.4m
