Master: verda-hackathon-1:29500  |  Nodes: 1  |  GPUs/node: 8
[model] 110.9M parameters
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
step     10 | loss 9.6723 | lr 6.00e-05 | 172ms/step | elapsed 0.1m | time left 9.9m
step     20 | loss 9.2074 | lr 1.20e-04 | 165ms/step | elapsed 0.1m | time left 9.9m
step     30 | loss 8.7226 | lr 1.80e-04 | 166ms/step | elapsed 0.1m | time left 9.9m
step     40 | loss 8.4660 | lr 2.40e-04 | 177ms/step | elapsed 0.1m | time left 9.9m
step     50 | loss 8.4020 | lr 3.00e-04 | 161ms/step | elapsed 0.2m | time left 9.8m
step     60 | loss 8.1725 | lr 3.60e-04 | 156ms/step | elapsed 0.2m | time left 9.8m
step     70 | loss 7.9322 | lr 4.20e-04 | 159ms/step | elapsed 0.2m | time left 9.8m
step     80 | loss 7.8334 | lr 4.80e-04 | 160ms/step | elapsed 0.2m | time left 9.8m
step     90 | loss 7.7772 | lr 5.40e-04 | 156ms/step | elapsed 0.3m | time left 9.7m
step    100 | loss 7.6300 | lr 6.00e-04 | 159ms/step | elapsed 0.3m | time left 9.7m
step    110 | loss 7.5966 | lr 6.00e-04 | 158ms/step | elapsed 0.3m | time left 9.7m
step    120 | loss 7.3709 | lr 6.00e-04 | 161ms/step | elapsed 0.4m | time left 9.6m
step    130 | loss 7.3230 | lr 6.00e-04 | 177ms/step | elapsed 0.4m | time left 9.6m
step    140 | loss 7.3047 | lr 6.00e-04 | 170ms/step | elapsed 0.4m | time left 9.6m
step    150 | loss 7.2528 | lr 6.00e-04 | 157ms/step | elapsed 0.4m | time left 9.6m
step    160 | loss 7.0701 | lr 6.00e-04 | 178ms/step | elapsed 0.5m | time left 9.5m
step    170 | loss 7.0061 | lr 6.00e-04 | 161ms/step | elapsed 0.5m | time left 9.5m
step    180 | loss 7.0832 | lr 6.00e-04 | 147ms/step | elapsed 0.5m | time left 9.5m
step    190 | loss 6.7897 | lr 6.00e-04 | 152ms/step | elapsed 0.5m | time left 9.5m
step    200 | loss 6.8597 | lr 5.99e-04 | 156ms/step | elapsed 0.6m | time left 9.4m
step    210 | loss 6.8084 | lr 5.99e-04 | 170ms/step | elapsed 0.6m | time left 9.4m
step    220 | loss 6.6444 | lr 5.99e-04 | 157ms/step | elapsed 0.6m | time left 9.4m
step    230 | loss 6.6654 | lr 5.99e-04 | 156ms/step | elapsed 0.7m | time left 9.3m
step    240 | loss 6.7295 | lr 5.99e-04 | 156ms/step | elapsed 0.7m | time left 9.3m
step    250 | loss 6.5282 | lr 5.99e-04 | 145ms/step | elapsed 0.7m | time left 9.3m
step    260 | loss 6.5517 | lr 5.99e-04 | 152ms/step | elapsed 0.7m | time left 9.3m
step    270 | loss 6.4138 | lr 5.98e-04 | 158ms/step | elapsed 0.8m | time left 9.2m
step    280 | loss 6.3825 | lr 5.98e-04 | 135ms/step | elapsed 0.8m | time left 9.2m
step    290 | loss 6.3938 | lr 5.98e-04 | 150ms/step | elapsed 0.8m | time left 9.2m
step    300 | loss 6.5104 | lr 5.98e-04 | 155ms/step | elapsed 0.8m | time left 9.2m
step    310 | loss 6.3401 | lr 5.98e-04 | 157ms/step | elapsed 0.9m | time left 9.1m
step    320 | loss 6.1821 | lr 5.97e-04 | 146ms/step | elapsed 0.9m | time left 9.1m
step    330 | loss 6.2597 | lr 5.97e-04 | 165ms/step | elapsed 0.9m | time left 9.1m
step    340 | loss 6.1568 | lr 5.97e-04 | 160ms/step | elapsed 1.0m | time left 9.0m
step    350 | loss 6.0575 | lr 5.97e-04 | 159ms/step | elapsed 1.0m | time left 9.0m
step    360 | loss 6.1348 | lr 5.96e-04 | 156ms/step | elapsed 1.0m | time left 9.0m
step    370 | loss 6.1387 | lr 5.96e-04 | 143ms/step | elapsed 1.0m | time left 9.0m
step    380 | loss 6.0134 | lr 5.96e-04 | 147ms/step | elapsed 1.1m | time left 8.9m
step    390 | loss 5.8068 | lr 5.95e-04 | 162ms/step | elapsed 1.1m | time left 8.9m
step    400 | loss 5.9381 | lr 5.95e-04 | 185ms/step | elapsed 1.1m | time left 8.9m
step    410 | loss 5.7960 | lr 5.95e-04 | 153ms/step | elapsed 1.1m | time left 8.9m
step    420 | loss 5.8176 | lr 5.94e-04 | 155ms/step | elapsed 1.2m | time left 8.8m
step    430 | loss 5.6684 | lr 5.94e-04 | 187ms/step | elapsed 1.2m | time left 8.8m
step    440 | loss 5.8311 | lr 5.94e-04 | 145ms/step | elapsed 1.2m | time left 8.8m
step    450 | loss 5.6712 | lr 5.93e-04 | 153ms/step | elapsed 1.2m | time left 8.8m
step    460 | loss 5.6768 | lr 5.93e-04 | 178ms/step | elapsed 1.3m | time left 8.7m
step    470 | loss 5.6371 | lr 5.92e-04 | 149ms/step | elapsed 1.3m | time left 8.7m
step    480 | loss 5.4020 | lr 5.92e-04 | 172ms/step | elapsed 1.3m | time left 8.7m
step    490 | loss 5.5198 | lr 5.92e-04 | 145ms/step | elapsed 1.4m | time left 8.6m
step    500 | loss 5.5477 | lr 5.91e-04 | 169ms/step | elapsed 1.4m | time left 8.6m
step    510 | loss 5.6046 | lr 5.91e-04 | 156ms/step | elapsed 1.4m | time left 8.6m
step    520 | loss 5.3895 | lr 5.90e-04 | 172ms/step | elapsed 1.4m | time left 8.6m
step    530 | loss 5.3992 | lr 5.90e-04 | 162ms/step | elapsed 1.5m | time left 8.5m
step    540 | loss 5.2806 | lr 5.89e-04 | 145ms/step | elapsed 1.5m | time left 8.5m
step    550 | loss 5.3653 | lr 5.89e-04 | 143ms/step | elapsed 1.5m | time left 8.5m
step    560 | loss 5.2603 | lr 5.88e-04 | 176ms/step | elapsed 1.6m | time left 8.4m
step    570 | loss 5.2119 | lr 5.88e-04 | 150ms/step | elapsed 1.6m | time left 8.4m
step    580 | loss 5.3768 | lr 5.87e-04 | 162ms/step | elapsed 1.6m | time left 8.4m
step    590 | loss 5.0690 | lr 5.87e-04 | 151ms/step | elapsed 1.6m | time left 8.4m
step    600 | loss 5.2218 | lr 5.86e-04 | 169ms/step | elapsed 1.7m | time left 8.3m
step    610 | loss 5.0603 | lr 5.86e-04 | 171ms/step | elapsed 1.7m | time left 8.3m
step    620 | loss 5.2361 | lr 5.85e-04 | 150ms/step | elapsed 1.7m | time left 8.3m
step    630 | loss 5.1802 | lr 5.85e-04 | 152ms/step | elapsed 1.7m | time left 8.3m
step    640 | loss 4.9970 | lr 5.84e-04 | 147ms/step | elapsed 1.8m | time left 8.2m
step    650 | loss 4.9323 | lr 5.83e-04 | 136ms/step | elapsed 1.8m | time left 8.2m
step    660 | loss 5.1557 | lr 5.83e-04 | 166ms/step | elapsed 1.8m | time left 8.2m
step    670 | loss 5.0991 | lr 5.82e-04 | 140ms/step | elapsed 1.8m | time left 8.2m
step    680 | loss 4.8644 | lr 5.82e-04 | 131ms/step | elapsed 1.9m | time left 8.1m
step    690 | loss 4.8175 | lr 5.81e-04 | 144ms/step | elapsed 1.9m | time left 8.1m
step    700 | loss 4.9551 | lr 5.80e-04 | 154ms/step | elapsed 1.9m | time left 8.1m
step    710 | loss 4.9146 | lr 5.80e-04 | 162ms/step | elapsed 1.9m | time left 8.1m
step    720 | loss 4.9359 | lr 5.79e-04 | 161ms/step | elapsed 2.0m | time left 8.0m
step    730 | loss 4.9402 | lr 5.78e-04 | 158ms/step | elapsed 2.0m | time left 8.0m
step    740 | loss 4.9228 | lr 5.78e-04 | 166ms/step | elapsed 2.0m | time left 8.0m
step    750 | loss 4.6678 | lr 5.77e-04 | 144ms/step | elapsed 2.0m | time left 8.0m
step    760 | loss 4.9607 | lr 5.76e-04 | 164ms/step | elapsed 2.1m | time left 7.9m
step    770 | loss 4.8388 | lr 5.75e-04 | 139ms/step | elapsed 2.1m | time left 7.9m
step    780 | loss 4.6705 | lr 5.75e-04 | 130ms/step | elapsed 2.1m | time left 7.9m
step    790 | loss 4.8473 | lr 5.74e-04 | 138ms/step | elapsed 2.1m | time left 7.9m
step    800 | loss 4.8167 | lr 5.73e-04 | 145ms/step | elapsed 2.2m | time left 7.8m
step    810 | loss 4.7898 | lr 5.73e-04 | 154ms/step | elapsed 2.2m | time left 7.8m
step    820 | loss 4.7941 | lr 5.72e-04 | 171ms/step | elapsed 2.2m | time left 7.8m
step    830 | loss 4.6575 | lr 5.71e-04 | 137ms/step | elapsed 2.2m | time left 7.8m
step    840 | loss 4.7853 | lr 5.70e-04 | 152ms/step | elapsed 2.3m | time left 7.7m
step    850 | loss 4.6259 | lr 5.69e-04 | 161ms/step | elapsed 2.3m | time left 7.7m
step    860 | loss 4.7644 | lr 5.69e-04 | 162ms/step | elapsed 2.3m | time left 7.7m
step    870 | loss 4.6255 | lr 5.68e-04 | 159ms/step | elapsed 2.3m | time left 7.7m
step    880 | loss 4.6258 | lr 5.67e-04 | 150ms/step | elapsed 2.4m | time left 7.6m
step    890 | loss 4.7743 | lr 5.66e-04 | 141ms/step | elapsed 2.4m | time left 7.6m
step    900 | loss 4.7152 | lr 5.65e-04 | 144ms/step | elapsed 2.4m | time left 7.6m
step    910 | loss 4.6291 | lr 5.64e-04 | 152ms/step | elapsed 2.4m | time left 7.6m
step    920 | loss 4.8077 | lr 5.64e-04 | 160ms/step | elapsed 2.5m | time left 7.5m
step    930 | loss 4.6189 | lr 5.63e-04 | 131ms/step | elapsed 2.5m | time left 7.5m
step    940 | loss 4.7841 | lr 5.62e-04 | 136ms/step | elapsed 2.5m | time left 7.5m
step    950 | loss 4.6369 | lr 5.61e-04 | 155ms/step | elapsed 2.5m | time left 7.5m
step    960 | loss 4.5215 | lr 5.60e-04 | 129ms/step | elapsed 2.6m | time left 7.4m
step    970 | loss 4.6145 | lr 5.59e-04 | 150ms/step | elapsed 2.6m | time left 7.4m
step    980 | loss 4.6966 | lr 5.58e-04 | 134ms/step | elapsed 2.6m | time left 7.4m
step    990 | loss 4.5507 | lr 5.57e-04 | 151ms/step | elapsed 2.6m | time left 7.4m
step   1000 | loss 4.4958 | lr 5.56e-04 | 140ms/step | elapsed 2.7m | time left 7.3m
step   1010 | loss 4.7917 | lr 5.55e-04 | 157ms/step | elapsed 2.7m | time left 7.3m
step   1020 | loss 4.5426 | lr 5.54e-04 | 149ms/step | elapsed 2.7m | time left 7.3m
step   1030 | loss 4.4365 | lr 5.53e-04 | 138ms/step | elapsed 2.7m | time left 7.3m
step   1040 | loss 4.4273 | lr 5.52e-04 | 145ms/step | elapsed 2.8m | time left 7.2m
step   1050 | loss 4.5734 | lr 5.51e-04 | 138ms/step | elapsed 2.8m | time left 7.2m
step   1060 | loss 4.3918 | lr 5.50e-04 | 135ms/step | elapsed 2.8m | time left 7.2m
step   1070 | loss 4.6057 | lr 5.49e-04 | 140ms/step | elapsed 2.8m | time left 7.2m
step   1080 | loss 4.6679 | lr 5.48e-04 | 163ms/step | elapsed 2.9m | time left 7.1m
step   1090 | loss 4.6249 | lr 5.47e-04 | 142ms/step | elapsed 2.9m | time left 7.1m
step   1100 | loss 4.5981 | lr 5.46e-04 | 137ms/step | elapsed 2.9m | time left 7.1m
step   1110 | loss 4.4150 | lr 5.45e-04 | 152ms/step | elapsed 2.9m | time left 7.1m
step   1120 | loss 4.5226 | lr 5.44e-04 | 130ms/step | elapsed 3.0m | time left 7.0m
step   1130 | loss 4.4813 | lr 5.43e-04 | 134ms/step | elapsed 3.0m | time left 7.0m
step   1140 | loss 4.6015 | lr 5.42e-04 | 164ms/step | elapsed 3.0m | time left 7.0m
step   1150 | loss 4.5298 | lr 5.41e-04 | 145ms/step | elapsed 3.0m | time left 7.0m
step   1160 | loss 4.4431 | lr 5.40e-04 | 135ms/step | elapsed 3.1m | time left 6.9m
step   1170 | loss 4.4791 | lr 5.39e-04 | 131ms/step | elapsed 3.1m | time left 6.9m
step   1180 | loss 4.4216 | lr 5.38e-04 | 141ms/step | elapsed 3.1m | time left 6.9m
step   1190 | loss 4.4369 | lr 5.37e-04 | 140ms/step | elapsed 3.1m | time left 6.9m
step   1200 | loss 4.3917 | lr 5.36e-04 | 133ms/step | elapsed 3.1m | time left 6.9m
step   1210 | loss 4.3431 | lr 5.34e-04 | 137ms/step | elapsed 3.2m | time left 6.8m
step   1220 | loss 4.5303 | lr 5.33e-04 | 137ms/step | elapsed 3.2m | time left 6.8m
step   1230 | loss 4.5718 | lr 5.32e-04 | 135ms/step | elapsed 3.2m | time left 6.8m
step   1240 | loss 4.3419 | lr 5.31e-04 | 128ms/step | elapsed 3.2m | time left 6.8m
step   1250 | loss 4.3073 | lr 5.30e-04 | 128ms/step | elapsed 3.3m | time left 6.7m
step   1260 | loss 4.3938 | lr 5.29e-04 | 117ms/step | elapsed 3.3m | time left 6.7m
step   1270 | loss 4.3023 | lr 5.28e-04 | 154ms/step | elapsed 3.3m | time left 6.7m
step   1280 | loss 4.4684 | lr 5.26e-04 | 141ms/step | elapsed 3.3m | time left 6.7m
step   1290 | loss 4.3193 | lr 5.25e-04 | 142ms/step | elapsed 3.4m | time left 6.6m
step   1300 | loss 4.4155 | lr 5.24e-04 | 136ms/step | elapsed 3.4m | time left 6.6m
step   1310 | loss 4.5747 | lr 5.23e-04 | 128ms/step | elapsed 3.4m | time left 6.6m
