Master: verda-hackathon-1:29500  |  Nodes: 2  |  GPUs/node: 4
[model] 110.9M parameters
[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total


[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total[data] 49 shard(s), 49,000,000,000 tokens total

[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
step     10 | loss 9.6724 | lr 6.00e-05 | 187ms/step | elapsed 0.1m | time left 9.9m
step     20 | loss 9.2245 | lr 1.20e-04 | 183ms/step | elapsed 0.1m | time left 9.9m
step     30 | loss 8.6912 | lr 1.80e-04 | 168ms/step | elapsed 0.1m | time left 9.9m
step     40 | loss 8.4322 | lr 2.40e-04 | 155ms/step | elapsed 0.1m | time left 9.9m
step     50 | loss 8.4431 | lr 3.00e-04 | 161ms/step | elapsed 0.2m | time left 9.8m
step     60 | loss 8.1604 | lr 3.60e-04 | 171ms/step | elapsed 0.2m | time left 9.8m
step     70 | loss 7.9783 | lr 4.20e-04 | 153ms/step | elapsed 0.2m | time left 9.8m
step     80 | loss 7.8775 | lr 4.80e-04 | 152ms/step | elapsed 0.3m | time left 9.7m
step     90 | loss 7.7048 | lr 5.40e-04 | 172ms/step | elapsed 0.3m | time left 9.7m
step    100 | loss 7.6182 | lr 6.00e-04 | 161ms/step | elapsed 0.3m | time left 9.7m
step    110 | loss 7.5657 | lr 6.00e-04 | 180ms/step | elapsed 0.3m | time left 9.7m
step    120 | loss 7.3586 | lr 6.00e-04 | 170ms/step | elapsed 0.4m | time left 9.6m
step    130 | loss 7.3326 | lr 6.00e-04 | 162ms/step | elapsed 0.4m | time left 9.6m
step    140 | loss 7.3716 | lr 6.00e-04 | 180ms/step | elapsed 0.4m | time left 9.6m
step    150 | loss 7.0883 | lr 6.00e-04 | 162ms/step | elapsed 0.5m | time left 9.5m
step    160 | loss 7.0524 | lr 6.00e-04 | 181ms/step | elapsed 0.5m | time left 9.5m
step    170 | loss 7.1137 | lr 6.00e-04 | 164ms/step | elapsed 0.5m | time left 9.5m
step    180 | loss 6.8069 | lr 6.00e-04 | 158ms/step | elapsed 0.5m | time left 9.5m
step    190 | loss 6.9288 | lr 6.00e-04 | 171ms/step | elapsed 0.6m | time left 9.4m
step    200 | loss 6.9064 | lr 5.99e-04 | 158ms/step | elapsed 0.6m | time left 9.4m
step    210 | loss 6.8656 | lr 5.99e-04 | 162ms/step | elapsed 0.6m | time left 9.4m
step    220 | loss 6.7383 | lr 5.99e-04 | 160ms/step | elapsed 0.7m | time left 9.3m
step    230 | loss 6.7537 | lr 5.99e-04 | 141ms/step | elapsed 0.7m | time left 9.3m
step    240 | loss 6.6809 | lr 5.99e-04 | 158ms/step | elapsed 0.7m | time left 9.3m
step    250 | loss 6.4435 | lr 5.99e-04 | 172ms/step | elapsed 0.7m | time left 9.3m
step    260 | loss 6.4946 | lr 5.99e-04 | 153ms/step | elapsed 0.8m | time left 9.2m
step    270 | loss 6.5232 | lr 5.98e-04 | 154ms/step | elapsed 0.8m | time left 9.2m
step    280 | loss 6.5067 | lr 5.98e-04 | 173ms/step | elapsed 0.8m | time left 9.2m
step    290 | loss 6.4744 | lr 5.98e-04 | 154ms/step | elapsed 0.8m | time left 9.2m
step    300 | loss 6.3216 | lr 5.98e-04 | 171ms/step | elapsed 0.9m | time left 9.1m
step    310 | loss 6.3931 | lr 5.98e-04 | 158ms/step | elapsed 0.9m | time left 9.1m
step    320 | loss 6.1090 | lr 5.97e-04 | 161ms/step | elapsed 0.9m | time left 9.1m
step    330 | loss 6.0951 | lr 5.97e-04 | 164ms/step | elapsed 1.0m | time left 9.0m
step    340 | loss 6.0598 | lr 5.97e-04 | 167ms/step | elapsed 1.0m | time left 9.0m
step    350 | loss 6.0131 | lr 5.97e-04 | 148ms/step | elapsed 1.0m | time left 9.0m
step    360 | loss 6.1095 | lr 5.96e-04 | 154ms/step | elapsed 1.0m | time left 9.0m
step    370 | loss 6.0820 | lr 5.96e-04 | 165ms/step | elapsed 1.1m | time left 8.9m
step    380 | loss 5.6754 | lr 5.96e-04 | 157ms/step | elapsed 1.1m | time left 8.9m
step    390 | loss 5.9292 | lr 5.95e-04 | 154ms/step | elapsed 1.1m | time left 8.9m
step    400 | loss 5.9326 | lr 5.95e-04 | 160ms/step | elapsed 1.1m | time left 8.9m
step    410 | loss 5.7886 | lr 5.95e-04 | 158ms/step | elapsed 1.2m | time left 8.8m
